,Name,review
0,Michael Thorn,"Got these headphones as a christmas present for my teenager who likes to game while talking on the phone with their friends. I've tried them out a few times as well for various things like playing games, watching TV, etc. After a couple months of use we've got mostly positive things to say. My kid loves the ability to hook up to both the PS5 and their iPhone at the same time. They've told me the sound is great both through the headphones and through the mic, and they are very comfortable even for long periods of time. I find the sound to be really good and although they are comfortable for me as well the only negative is they are pretty heavy."
1,Scott A. Baecker,"For anyone upgrading from something older like a wireless Void Pro, the range on these is actually worse. Maybe if you live in a studio apartment with no walls, or a field perhaps, you’re not going to get 60ft of range out of these. Maybe 25 ft if you’re lucky. I was looking forward to being able to let my dog out back while staying on audio, but no chance with these.However, being able to use the wireless and Bluetooth to hear audio from two sources at once is a big deal, especially if you work remotely. If you want to listen/watch something on a phone while not being tracked by your employer (or just saving some resources on your work device), this is a killer add-on I never knew I was missing until I had it.Bass is disappointing."
2,Mike,"FOR HEAD-PAIN or EAR-PAIN:A sennheiser HD280 headband can be added to fix head pain. It is a tight fit, but it is extremely comfortable.Also some cloth cooling pad ear cups will help with heat and not deteriorate like stock Corsair cups.Both are on Amazon.This headset can accept audio from: wired USB C, Wireless USB dongle, Wireless Bluetooth, and wired Aux(3.5mm/line in).This headset can simultaneously (at the same time) combine audio sources from Line In (aux/3.5mm), Bluetooth, and EITHER USB line in or USB wireless dongle. (Meaning you can use 3 of the 4 audio inputs at the same time, where you can only choose one of two USB options)You control the USB volume using the volume wheel on the right cup (choose either wireless or wired USB using a switch near the volume wheel), the Bluetooth volume using the volume buttons on the right cup (hold the middle button to enter Bluetooth mode), and the AUX volume using the volume wheel on the provided aux cable.You can only output audio (via the mic input) to one device at a time it seems. It seems to prioritize Bluetooth mic input over USB mic input. But I haven’t done a ton of testing.Great for PC discord over Bluetooth, PS5 gaming over USB Dongle.The PS5 connection via AUX was echoing a lot when mic input was on, but worked perfectly using the USB Wireless Dongle."
3,HardwiredMike,The build quality is great! Although sound is not to my liking. At max volume it does not get loud enough for me. The Corsair ICUE equalizer is great to adjust sound to your preference but there is no way to increase it's max volume. So I am returning these and sticking to my Void Pros as they are louder and cheaper.
4,Sunny Ruth,At first I was a little worried about the sound quality bc I've heard that they are not the best of the best as far as sounds quality goes compared to my Astro A50 that I've been using. That being said they are very versatile with being able to hold the connection wirelessly and with my phone via Bluetooth. They are so much more comfortable and I'm very glad I made the switch to these headphones after experiencing so many issues with my prior headphones that I just gave up on them.
5,Savannah Wert,"If you swap out the ear pads for thicker ear pads, these headphones are perfect. They have a good amount of bass that can be increased, the sound imaging does very well, the Bluetooth and wireless dongle features work great for my ps5/phone. I compared these to a audiophile headset and a amp and these did really well in comparison for half the price. The convenience and ease of using these make these my #1 choice for gaming headphones"
6,A. Jones,"If you searched for ""Xbox Wireless Headset"" and got this product as a result, keep searching.  Yes, you can use them with Xbox -- but only by plugging into the controller and losing most of the advertised features.  (There is one small photo in the product description explaining this but the title in the store is very misleading.)That being said, they *are* quality headphones.  The build materials are sturdy and nicely machined, the sound is good (from PC), and I expect them to last longer than the many plastic headsets I have had to retire simply because they worked but could no longer be worn.I give three stars because of the misleading title and because, if you have a large head like I do, they are not especially comfortable.Bottom line:  I would return these if I had not already returned the *other* pair (from another manufacturer) that also failed to disclose the lack of compatibility with Xbox.  If you have a small to average size noggin and only play on PC, buy these."
7,thyme,I needed a headset that would connect to 2 devices at the same time.  My work computer and my phone.  It does that! It came with a USB dongle that I plug into the computer (plug and play! No extra software needed!) And I Bluetooth connect to my phone. So I can be wireless for both devices at the same time!
8,thyme,                    The media could not be loaded.
9,Aaron Resendiz Ireta,                
